test_id,operator,technology,circle,download_speed,upload_speed,signal_strength,latency_ms,test_date,latitude,longitude,quality_score
TEST_000004,jio,5G,Mumbai,59.17,27.36,-95.9,44.13,2026-04-13,15.780398,74.028785,75.46
TEST_000013,jio,4G,Mumbai,19.6,4.77,-95.57,46.74,2026-04-10,19.232614,69.853281,56.13
TEST_000020,vi,4G,Mumbai,17.81,8.82,-116.44,35.39,2026-05-27,32.774077,89.024578,63.31
TEST_000043,vi,4G,Mumbai,20.56,7.32,-96.45,39.06,2026-04-10,9.600628,84.356973,65.01
TEST_000061,airtel,4G,Mumbai,29.19,10.28,-83.46,38.65,2026-05-27,14.986833,70.878221,72.85
TEST_000071,vi,5G,Mumbai,37.54,26.33,-69.12,35.7,2026-03-01,22.55777,90.582304,89.37
TEST_000076,airtel,5G,Mumbai,81.32,17.89,-87.5,62.95,2026-03-27,20.036868,84.239574,66.72
TEST_000091,jio,5G,Mumbai,49.11,20.02,-68.68,36.31,2026-04-19,33.335477,84.354224,88.92
TEST_000092,vi,5G,Mumbai,65.6,25.97,-74.71,36.77,2026-05-01,8.16509,77.849246,92.09
TEST_000094,airtel,5G,Mumbai,82.26,16.54,-78.77,84.12,2026-05-25,27.015973,79.320867,61.57
TEST_000104,airtel,5G,Mumbai,36.45,30.94,-86.37,43.04,2026-04-20,34.361177,73.553234,75.97
TEST_000124,jio,5G,Mumbai,99.7,27.33,-60.0,36.7,2026-05-29,34.434509,85.86035,105.18
TEST_000146,jio,5G,Mumbai,95.06,21.84,-81.52,41.67,2026-05-19,29.180408,85.511445,88.8
TEST_000147,jio,5G,Mumbai,137.92,22.97,-73.63,60.44,2026-05-10,11.66837,76.064816,87.07
TEST_000183,airtel,4G,Mumbai,26.07,3.49,-63.82,68.48,2026-04-28,18.320398,88.972325,54.59
TEST_000195,airtel,4G,Mumbai,22.17,6.27,-82.62,48.86,2026-03-17,30.035387,73.745756,59.79
TEST_000202,vi,5G,Mumbai,48.71,27.79,-76.51,59.1,2026-04-28,26.013539,68.872218,68.71
TEST_000213,airtel,5G,Mumbai,54.87,24.72,-108.16,58.46,2026-04-15,10.900816,82.207551,58.78
TEST_000226,jio,4G,Mumbai,36.61,12.31,-92.35,67.94,2026-04-08,34.469074,89.485787,50.85
