test_id,operator,technology,circle,download_speed,upload_speed,signal_strength,latency_ms,test_date,latitude,longitude
TEST_000000,jio,5G,Delhi,97.67,23.96,-77.23,37.54,2026-04-01,14.249901,88.621194
TEST_000001,jio,5G,Jaipur,123.84,27.09,-72.87,53.47,2026-03-05,8.834322,74.121863
TEST_000002,vi,4G,Jaipur,15.46,6.98,-90.56,40.44,2026-05-11,13.567454,86.196764
TEST_000003,airtel,4G,Jaipur,18.93,1.51,-73.6,40.16,2026-04-27,24.499439,90.664053
TEST_000004,jio,5G,Mumbai,59.17,27.36,-95.9,44.13,2026-04-13,15.780398,74.028785
TEST_000005,jio,4G,Hyderabad,14.41,6.49,-77.83,45.83,2026-04-18,10.708059,91.729842
TEST_000006,airtel,4G,Lucknow,18.41,7.23,-98.81,36.01,2026-04-28,23.014387,95.247241
TEST_000007,jio,5G,Pune,94.58,20.5,-73.63,36.54,2026-05-20,25.318553,92.127793
TEST_000008,jio,4G,Lucknow,20.49,12.45,-85.16,35.52,2026-03-06,26.515373,89.645914
TEST_000009,jio,4G,Delhi,17.07,7.45,-80.33,51.29,2026-04-18,15.783261,85.799164
TEST_000010,jio,5G,Hyderabad,90.33,10.3,-100.94,87.39,2026-04-15,13.866197,75.475379
TEST_000011,vi,4G,Delhi,19.06,6.39,-74.42,73.24,2026-05-08,28.41555,72.57527
TEST_000012,airtel,4G,Pune,21.24,6.37,-102.74,61.47,2026-05-27,17.079917,89.51278
TEST_000013,jio,4G,Mumbai,19.6,4.77,-95.57,46.74,2026-04-10,19.232614,69.853281
TEST_000014,vi,5G,Lucknow,65.83,15.92,-93.12,35.08,2026-03-28,26.352283,79.077693
TEST_000015,jio,5G,Ahmedabad,100.6,29.37,-74.35,54.58,2026-03-18,14.90557,83.718308
TEST_000016,vi,5G,Kolkata,44.89,16.33,-81.02,41.03,2026-05-14,19.183214,74.140981
TEST_000017,vi,5G,Bangalore,77.56,17.04,-89.92,40.9,2026-03-12,29.1619,92.110881
TEST_000018,vi,4G,Bangalore,22.39,8.44,-85.86,36.91,2026-05-27,19.820479,69.778776
TEST_000019,vi,5G,Pune,78.06,23.25,-75.45,47.36,2026-05-07,15.039595,83.490325
TEST_000020,vi,4G,Mumbai,17.81,8.82,-116.44,35.39,2026-05-27,32.774077,89.024578
TEST_000021,jio,5G,Hyderabad,105.96,14.36,-72.49,45.66,2026-04-25,12.428417,68.090869
TEST_000022,vi,4G,Kolkata,16.81,6.64,-67.27,38.9,2026-05-04,33.55358,92.37452
TEST_000023,vi,4G,Kolkata,15.2,5.62,-90.12,37.64,2026-03-20,18.469588,72.523373
TEST_000024,jio,5G,Jaipur,108.34,27.47,-91.36,68.46,2026-05-02,8.545349,94.014761
TEST_000025,jio,4G,Kolkata,28.85,11.29,-82.89,68.96,2026-03-31,32.584269,94.514584
TEST_000026,vi,5G,Delhi,47.36,16.23,-89.71,60.56,2026-03-09,35.383566,82.915773
TEST_000027,jio,5G,Bangalore,47.68,5.09,-80.85,38.77,2026-05-10,12.623555,82.774866
TEST_000028,airtel,4G,Lucknow,19.74,5.32,-86.94,45.97,2026-05-09,29.147426,87.316294
TEST_000029,airtel,5G,Kolkata,84.09,15.78,-68.15,88.52,2026-04-26,33.189194,80.641612
TEST_000030,jio,4G,Chennai,10.61,7.94,-84.28,35.79,2026-04-13,8.588959,83.509803
TEST_000031,jio,4G,Lucknow,43.47,9.15,-88.11,39.11,2026-03-10,27.819547,69.648465
TEST_000032,jio,5G,Delhi,84.11,16.23,-71.29,39.07,2026-03-10,22.396371,75.797363
TEST_000033,jio,4G,Ahmedabad,30.64,6.08,-68.39,50.01,2026-05-13,24.133926,74.803923
TEST_000034,airtel,4G,Ahmedabad,25.87,11.6,-96.89,35.62,2026-03-13,10.714063,80.069433
TEST_000035,airtel,5G,Pune,62.26,33.26,-74.52,35.25,2026-03-07,26.854207,95.556626
TEST_000036,jio,5G,Delhi,45.46,25.51,-97.75,52.61,2026-04-13,30.41659,71.059533
TEST_000037,jio,5G,Chennai,97.08,29.65,-86.93,37.22,2026-03-18,19.812686,75.799264
TEST_000038,jio,5G,Chennai,65.03,22.58,-75.24,60.49,2026-05-10,10.741444,86.260057
TEST_000039,jio,4G,Jaipur,15.77,11.27,-60.0,39.15,2026-03-31,12.656711,81.597952
TEST_000040,airtel,4G,Chennai,23.72,8.64,-99.84,54.42,2026-03-22,18.611247,95.588648
TEST_000041,airtel,5G,Kolkata,45.29,26.08,-70.4,36.32,2026-04-24,27.504562,88.454149
TEST_000042,vi,5G,Jaipur,65.28,14.14,-62.61,50.83,2026-03-20,13.31714,74.095625
TEST_000043,vi,4G,Mumbai,20.56,7.32,-96.45,39.06,2026-04-10,9.600628,84.356973
TEST_000044,vi,4G,Jaipur,24.26,4.52,-73.44,51.08,2026-03-08,34.901809,70.243121
TEST_000045,jio,4G,Bangalore,28.1,5.92,-83.25,41.88,2026-05-26,32.130938,79.305715
TEST_000046,jio,4G,Lucknow,18.33,6.04,-85.93,68.39,2026-05-19,10.295535,86.406449
TEST_000047,vi,5G,Lucknow,66.14,24.53,-78.54,45.48,2026-04-03,13.719258,88.05337
TEST_000048,airtel,5G,Chennai,69.05,39.95,-77.49,39.94,2026-03-17,26.807326,76.399918
TEST_000049,jio,4G,Hyderabad,18.57,8.1,-86.65,37.92,2026-04-28,25.392459,83.763822
TEST_000050,jio,4G,Delhi,23.32,9.71,-79.32,84.71,2026-05-04,15.425612,94.131263
TEST_000051,jio,5G,Delhi,83.14,21.61,-75.68,42.29,2026-04-06,12.416911,91.344859
TEST_000052,vi,4G,Kolkata,15.59,7.54,-82.43,76.27,2026-05-25,30.878916,76.382605
TEST_000053,jio,5G,Delhi,53.23,29.73,-63.84,36.53,2026-03-15,32.911956,88.787667
TEST_000054,airtel,5G,Bangalore,76.31,14.46,-80.71,52.91,2026-05-17,13.89763,77.600648
TEST_000055,vi,5G,Kolkata,70.09,12.82,-68.42,40.21,2026-04-02,33.349422,91.690904
TEST_000056,vi,5G,Delhi,69.27,20.77,-78.82,59.01,2026-04-05,9.234429,77.339583
TEST_000057,vi,5G,Bangalore,129.35,25.19,-73.14,58.83,2026-03-21,28.754465,83.447052
TEST_000058,vi,4G,Pune,16.3,7.37,-94.27,47.95,2026-03-15,10.106828,92.726979
TEST_000059,vi,4G,Bangalore,16.72,5.93,-91.42,46.73,2026-04-17,24.310268,72.146626
TEST_000060,jio,5G,Bangalore,102.5,12.9,-90.66,37.04,2026-04-16,33.171482,90.291425
TEST_000061,airtel,4G,Mumbai,29.19,10.28,-83.46,38.65,2026-05-27,14.986833,70.878221
TEST_000062,airtel,4G,Jaipur,17.18,7.45,-84.45,46.67,2026-03-31,32.208959,95.333769
TEST_000063,airtel,4G,Bangalore,17.7,9.86,-75.05,90.85,2026-03-23,28.623805,77.301193
TEST_000064,vi,4G,Pune,7.06,6.34,-92.94,43.67,2026-04-04,12.45754,87.635789
TEST_000065,jio,5G,Pune,106.74,19.21,-65.06,37.85,2026-03-29,13.588039,93.716653
TEST_000066,airtel,4G,Hyderabad,18.87,5.63,-63.81,51.19,2026-03-29,8.662604,73.407634
TEST_000067,airtel,4G,Hyderabad,24.67,7.79,-65.18,49.19,2026-04-05,17.832092,82.263359
TEST_000068,airtel,4G,Jaipur,11.97,5.98,-69.8,35.22,2026-03-15,32.557076,75.314025
TEST_000069,airtel,4G,Lucknow,17.33,6.5,-62.54,36.54,2026-03-14,24.703995,77.679239
TEST_000070,airtel,4G,Hyderabad,1.0,4.85,-88.03,42.63,2026-04-19,33.186133,73.322206
TEST_000071,vi,5G,Mumbai,37.54,26.33,-69.12,35.7,2026-03-01,22.55777,90.582304
TEST_000072,airtel,5G,Chennai,107.43,12.52,-71.04,51.12,2026-03-09,34.568486,93.781584
TEST_000073,airtel,4G,Lucknow,22.07,6.57,-84.27,48.22,2026-04-08,22.19943,86.673001
TEST_000074,airtel,5G,Hyderabad,77.55,26.37,-65.97,44.19,2026-05-10,11.564058,79.772497
TEST_000075,vi,4G,Pune,11.32,7.24,-84.15,42.32,2026-05-18,23.934947,79.370105
TEST_000076,airtel,5G,Mumbai,81.32,17.89,-87.5,62.95,2026-03-27,20.036868,84.239574
TEST_000077,airtel,5G,Hyderabad,63.91,17.89,-89.27,52.9,2026-04-26,26.917563,82.312872
TEST_000078,vi,4G,Bangalore,22.86,6.55,-75.25,39.97,2026-04-06,22.432656,85.722344
TEST_000079,jio,4G,Hyderabad,29.72,9.32,-93.52,59.66,2026-05-26,16.691745,90.583761
TEST_000080,jio,4G,Bangalore,24.84,8.28,-69.67,41.25,2026-04-01,35.550209,85.115671
TEST_000081,airtel,5G,Delhi,61.69,32.25,-90.27,56.07,2026-05-20,24.118785,88.113686
TEST_000082,airtel,5G,Pune,104.37,22.14,-76.82,42.39,2026-04-01,12.131998,87.253428
TEST_000083,airtel,4G,Delhi,19.95,6.43,-92.36,79.95,2026-03-23,30.515076,87.48553
TEST_000084,jio,4G,Ahmedabad,25.73,9.43,-94.82,40.21,2026-03-16,20.780931,90.439665
TEST_000085,vi,5G,Jaipur,97.66,24.51,-99.36,55.94,2026-04-26,25.154265,88.139671
TEST_000086,airtel,5G,Jaipur,89.04,26.15,-85.15,35.89,2026-03-21,28.822352,81.290884
TEST_000087,jio,5G,Kolkata,62.12,9.32,-63.75,67.8,2026-05-06,21.568716,74.698884
TEST_000088,jio,5G,Ahmedabad,63.95,22.59,-80.04,49.44,2026-03-31,15.608023,76.951868
TEST_000089,jio,4G,Jaipur,20.77,6.96,-82.55,60.88,2026-03-20,14.475321,87.430595
TEST_000090,jio,5G,Chennai,72.99,26.74,-102.38,60.13,2026-04-22,17.264679,81.04588
TEST_000091,jio,5G,Mumbai,49.11,20.02,-68.68,36.31,2026-04-19,33.335477,84.354224
TEST_000092,vi,5G,Mumbai,65.6,25.97,-74.71,36.77,2026-05-01,8.16509,77.849246
TEST_000093,airtel,4G,Pune,20.94,6.37,-85.05,44.49,2026-05-02,14.143806,80.203407
TEST_000094,airtel,5G,Mumbai,82.26,16.54,-78.77,84.12,2026-05-25,27.015973,79.320867
TEST_000095,airtel,4G,Bangalore,32.12,3.96,-95.13,65.44,2026-05-19,22.955462,93.394008
TEST_000096,vi,4G,Lucknow,19.21,6.02,-83.83,87.25,2026-03-11,25.99699,71.799586
TEST_000097,jio,4G,Ahmedabad,19.2,13.46,-80.13,52.85,2026-04-03,18.614908,73.926488
TEST_000098,airtel,5G,Hyderabad,123.45,16.94,-74.53,35.7,2026-04-05,29.056275,91.29388
TEST_000099,jio,5G,Kolkata,89.68,24.17,-73.28,49.52,2026-03-03,28.972679,69.458397
TEST_000100,jio,4G,Hyderabad,18.7,6.56,-110.49,48.14,2026-05-23,9.127228,68.86884
TEST_000101,jio,4G,Chennai,21.06,3.41,-80.65,60.21,2026-05-19,12.266706,71.534187
TEST_000102,vi,4G,Delhi,13.15,6.89,-100.84,75.49,2026-04-29,27.585019,89.473147
TEST_000103,vi,4G,Bangalore,27.89,5.87,-88.39,59.95,2026-03-21,35.012182,71.026765
TEST_000104,airtel,5G,Mumbai,36.45,30.94,-86.37,43.04,2026-04-20,34.361177,73.553234
TEST_000105,vi,4G,Lucknow,24.68,5.8,-85.67,65.01,2026-03-14,27.521404,76.444315
TEST_000106,jio,4G,Lucknow,25.04,8.11,-90.4,43.98,2026-04-14,22.916867,86.522598
TEST_000107,vi,5G,Delhi,71.21,10.61,-78.57,51.71,2026-03-02,31.788118,91.025266
TEST_000108,airtel,5G,Delhi,40.48,30.43,-81.01,46.02,2026-05-21,32.9641,80.872702
TEST_000109,airtel,4G,Bangalore,17.06,7.24,-66.38,63.68,2026-05-06,35.033264,75.562307
TEST_000110,airtel,5G,Jaipur,121.37,33.59,-87.99,37.16,2026-04-25,31.120569,84.589289
TEST_000111,jio,4G,Hyderabad,32.29,11.57,-74.47,38.59,2026-04-05,32.685673,74.828176
TEST_000112,vi,5G,Ahmedabad,79.05,8.5,-99.2,70.18,2026-04-13,8.8036,91.826679
TEST_000113,airtel,4G,Bangalore,8.54,7.42,-111.05,57.96,2026-04-15,30.339306,77.529488
TEST_000114,vi,5G,Lucknow,89.32,10.55,-105.44,44.22,2026-05-11,8.284231,94.545752
TEST_000115,jio,5G,Delhi,83.58,24.95,-80.16,40.98,2026-05-02,23.544934,74.72907
TEST_000116,vi,5G,Ahmedabad,36.52,21.62,-80.6,38.01,2026-04-27,30.20212,70.605494
TEST_000117,airtel,4G,Chennai,15.8,8.57,-88.49,44.64,2026-04-09,26.590881,78.332573
TEST_000118,vi,5G,Jaipur,42.26,20.72,-91.36,37.92,2026-04-24,35.905681,83.410877
TEST_000119,vi,5G,Hyderabad,45.73,10.26,-87.3,41.79,2026-04-04,16.585444,74.455065
TEST_000120,airtel,4G,Chennai,34.97,7.07,-93.4,66.02,2026-05-08,34.624572,87.32458
TEST_000121,jio,5G,Chennai,90.46,31.39,-92.44,55.69,2026-04-05,28.28838,95.344997
TEST_000122,vi,5G,Jaipur,50.45,14.89,-88.3,49.45,2026-03-13,31.313594,76.294901
TEST_000123,jio,5G,Hyderabad,26.3,20.3,-111.31,55.64,2026-03-02,27.824518,71.544323
TEST_000124,jio,5G,Mumbai,99.7,27.33,-60.0,36.7,2026-05-29,34.434509,85.86035
TEST_000125,jio,4G,Ahmedabad,33.4,11.66,-114.48,39.17,2026-05-13,15.961501,81.403998
TEST_000126,jio,4G,Hyderabad,19.33,4.59,-92.76,36.91,2026-04-02,34.349781,81.376417
TEST_000127,airtel,5G,Delhi,50.67,23.44,-74.07,52.05,2026-03-10,24.156592,87.220629
TEST_000128,jio,5G,Bangalore,84.8,36.1,-84.07,48.26,2026-03-11,35.829707,71.316644
TEST_000129,vi,4G,Pune,13.35,5.21,-66.02,37.05,2026-05-06,18.650585,93.438123
TEST_000130,vi,5G,Kolkata,44.24,10.53,-73.89,41.6,2026-04-09,23.921625,69.686449
TEST_000131,jio,4G,Delhi,39.32,8.07,-83.47,39.06,2026-04-03,26.491988,72.397599
TEST_000132,vi,4G,Bangalore,14.49,5.12,-92.11,37.86,2026-03-21,8.07492,80.614104
TEST_000133,airtel,5G,Lucknow,55.56,5.48,-76.78,95.58,2026-03-05,14.481335,87.794763
TEST_000134,jio,4G,Ahmedabad,23.21,5.82,-91.92,37.81,2026-04-03,30.059185,85.501624
TEST_000135,airtel,4G,Chennai,26.99,8.11,-82.51,47.2,2026-05-09,14.294665,72.171703
TEST_000136,jio,4G,Kolkata,12.48,9.3,-92.95,40.87,2026-03-08,12.645838,76.613131
TEST_000137,airtel,5G,Lucknow,87.84,23.85,-117.89,39.16,2026-03-16,21.123543,76.514553
TEST_000138,airtel,5G,Pune,80.84,16.03,-77.34,37.51,2026-04-26,10.252372,69.116102
TEST_000139,vi,5G,Pune,30.09,33.03,-104.33,35.8,2026-05-17,15.010301,70.557153
TEST_000140,vi,4G,Lucknow,13.35,5.31,-72.92,39.41,2026-05-26,30.999795,84.134916
TEST_000141,airtel,5G,Bangalore,62.02,29.3,-75.74,48.58,2026-04-05,13.081696,84.38923
TEST_000142,jio,5G,Ahmedabad,21.97,19.02,-78.08,61.63,2026-04-14,19.433747,76.989631
TEST_000143,jio,5G,Delhi,79.82,26.27,-83.93,38.0,2026-04-22,27.422863,76.070098
