,,download_speed,download_speed,download_speed,upload_speed,latency_ms,quality_score
,,mean,median,count,mean,mean,mean
circle,operator,,,,,,
Ahmedabad,airtel,46.6,31.88,1698,14.12,49.75,69.02
Ahmedabad,jio,55.06,37.95,1673,16.2,50.04,71.43
Ahmedabad,vi,39.58,30.75,1669,12.29,50.77,66.02
Bangalore,airtel,49.19,41.06,1623,15.08,50.32,69.96
Bangalore,jio,54.51,38.14,1700,16.08,50.42,71.23
Bangalore,vi,39.26,27.16,1672,11.89,49.84,66.54
Chennai,airtel,48.83,33.15,1671,14.32,50.42,69.28
Chennai,jio,55.27,42.23,1670,16.8,49.66,72.22
Chennai,vi,39.17,26.76,1578,11.92,49.6,66.77
Delhi,airtel,49.66,37.2,1685,14.51,50.14,69.84
Delhi,jio,54.51,37.93,1735,16.55,50.26,71.33
Delhi,vi,39.27,28.74,1633,12.0,50.21,66.47
Hyderabad,airtel,49.67,35.1,1603,14.53,49.71,70.17
Hyderabad,jio,54.45,38.57,1653,16.58,49.44,72.07
Hyderabad,vi,39.2,28.65,1648,12.15,49.83,66.66
Jaipur,airtel,48.87,34.94,1701,14.5,49.78,69.71
Jaipur,jio,53.86,36.48,1615,16.33,50.19,71.29
Jaipur,vi,37.56,25.68,1707,11.78,49.32,66.51
Kolkata,airtel,48.5,34.26,1708,14.5,50.22,69.32
Kolkata,jio,56.19,42.15,1740,16.91,50.14,72.03
Kolkata,vi,38.17,26.39,1696,11.72,50.14,65.84
Lucknow,airtel,50.21,39.23,1738,14.76,49.73,70.22
Lucknow,jio,54.18,36.79,1733,16.34,50.17,71.37
Lucknow,vi,38.75,27.28,1680,12.0,49.83,66.69
Mumbai,airtel,48.28,32.62,1639,14.19,49.78,69.56
Mumbai,jio,55.43,41.48,1611,16.62,49.54,71.94
Mumbai,vi,39.57,28.59,1623,12.26,50.98,66.28
Pune,airtel,48.76,32.42,1648,14.52,49.79,69.73
Pune,jio,55.53,39.45,1683,16.8,50.77,71.54
Pune,vi,38.57,27.31,1567,11.99,49.4,66.85
