circle,airtel,jio,vi
Ahmedabad,69.01503533568905,71.4267124925284,66.0236728579988
Bangalore,69.9564202094886,71.23420588235294,66.54186602870813
Chennai,69.27996409335728,72.2197245508982,66.76915082382763
Delhi,69.84421958456973,71.33342939481268,66.46894060012248
Hyderabad,70.16935121646912,72.07047791893527,66.65736650485437
Jaipur,69.71208700764257,71.29233436532508,66.50852958406561
Kolkata,69.3156674473068,72.0303908045977,65.83583726415094
Lucknow,70.21575373993095,71.37321984997115,66.68603571428571
Mumbai,69.55839536302624,71.9395530726257,66.28411583487369
Pune,69.731875,71.54367201426025,66.8463369495852
